2026-04-22 13:58:43 ip=127.0.0.1 method=GET url=/
2026-04-22 13:58:43 ip=127.0.0.1 method=GET url=/
2026-04-22 14:01:56 ip=127.0.0.1 method=GET url=/static/
2026-04-22 14:01:56 ip=127.0.0.1 method=GET url=/static/
2026-04-22 14:03:55 ip=127.0.0.1 method=GET url=/static/
2026-04-22 14:03:55 ip=127.0.0.1 method=GET url=/static/
2026-04-22 14:03:55 ip=127.0.0.1 method=GET url=/static/index.html
2026-04-22 14:04:32 ip=127.0.0.1 method=GET url=/static/assets/
{"ip":"127.0.0.1","latency_ms":0,"method":"GET","status":400,"ts":"2026-04-22 15:32:32","upstream":"127.0.0.1:8080","url":"/static/assets/readme.txt"}
{"ip":"127.0.0.1:57276","latency_ms":0,"method":"GET","status":200,"ts":"2026-04-22 15:53:46","upstream":"127.0.0.1:8080","url":"/static/assets/readme.txt"}
{"ip":"127.0.0.1:55060","latency_ms":0,"method":"GET","status":200,"ts":"2026-04-22 16:01:59","upstream":"127.0.0.1:8080","url":"/static/missing/path"}
{"ip":"127.0.0.1:55062","latency_ms":0,"method":"GET","status":200,"ts":"2026-04-22 16:01:59","upstream":"127.0.0.1:8080","url":"/static/assets/"}
{"ip":"127.0.0.1:56672","latency_ms":0,"method":"GET","status":200,"ts":"2026-04-22 16:04:52","upstream":"127.0.0.1:8080","url":"/static/missing/path"}
{"ip":"127.0.0.1:56673","latency_ms":0,"method":"GET","status":200,"ts":"2026-04-22 16:04:52","upstream":"127.0.0.1:8080","url":"/static/unknown"}
{"ip":"127.0.0.1:55788","latency_ms":33,"method":"GET","status":502,"ts":"2026-05-07 11:12:40","upstream":"127.0.0.1:9001","url":"ping"}
{"ip":"127.0.0.1:55792","latency_ms":32,"method":"GET","status":502,"ts":"2026-05-07 11:12:40","upstream":"127.0.0.1:9001","url":"ping"}
{"ip":"127.0.0.1:55796","latency_ms":32,"method":"GET","status":502,"ts":"2026-05-07 11:12:40","upstream":"127.0.0.1:9001","url":"ping"}
{"ip":"127.0.0.1:55806","latency_ms":32,"method":"GET","status":502,"ts":"2026-05-07 11:12:40","upstream":"127.0.0.1:9001","url":"ping"}
{"ip":"127.0.0.1:55818","latency_ms":32,"method":"GET","status":502,"ts":"2026-05-07 11:12:40","upstream":"127.0.0.1:9001","url":"ping"}
{"ip":"127.0.0.1:55824","latency_ms":32,"method":"GET","status":502,"ts":"2026-05-07 11:12:40","upstream":"127.0.0.1:9001","url":"ping"}
{"ip":"127.0.0.1:36162","latency_ms":32,"method":"GET","status":502,"ts":"2026-05-07 11:13:30","upstream":"127.0.0.1:9001","url":"ping"}
{"ip":"127.0.0.1:36178","latency_ms":34,"method":"GET","status":502,"ts":"2026-05-07 11:13:30","upstream":"127.0.0.1:9001","url":"ping"}
{"ip":"127.0.0.1:36186","latency_ms":34,"method":"GET","status":502,"ts":"2026-05-07 11:13:30","upstream":"127.0.0.1:9001","url":"ping"}
{"ip":"127.0.0.1:36192","latency_ms":34,"method":"GET","status":502,"ts":"2026-05-07 11:13:30","upstream":"127.0.0.1:9001","url":"ping"}
{"ip":"127.0.0.1:36200","latency_ms":34,"method":"GET","status":502,"ts":"2026-05-07 11:13:30","upstream":"127.0.0.1:9001","url":"ping"}
{"ip":"127.0.0.1:36216","latency_ms":32,"method":"GET","status":502,"ts":"2026-05-07 11:13:30","upstream":"127.0.0.1:9001","url":"ping"}
{"ip":"127.0.0.1:53756","latency_ms":0,"method":"GET","status":404,"ts":"2026-05-07 11:15:14","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:53770","latency_ms":1,"method":"GET","status":429,"ts":"2026-05-07 11:15:14","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:53778","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:15:14","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:53790","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:15:14","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:53798","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:15:14","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:53800","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:15:14","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:54910","latency_ms":0,"method":"GET","status":404,"ts":"2026-05-07 11:16:19","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:54924","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:16:19","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:54926","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:16:19","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:54932","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:16:19","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:54942","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:16:19","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:54952","latency_ms":1,"method":"GET","status":429,"ts":"2026-05-07 11:16:19","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:42810","latency_ms":0,"method":"GET","status":404,"ts":"2026-05-07 11:32:02","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:42824","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:32:02","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:42830","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:32:02","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:42838","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:32:02","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:42852","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:32:02","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:42866","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:32:02","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:52400","latency_ms":0,"method":"GET","status":404,"ts":"2026-05-07 11:32:02","upstream":"127.0.0.1:18084","url":"/hello.txt"}
{"ip":"127.0.0.1:52408","latency_ms":0,"method":"GET","status":404,"ts":"2026-05-07 11:32:02","upstream":"127.0.0.1:18084","url":"/hello.txt"}
{"ip":"127.0.0.1:51992","latency_ms":1,"method":"GET","status":404,"ts":"2026-05-07 11:40:30","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:52004","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:40:30","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:52010","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:40:30","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:52020","latency_ms":1,"method":"GET","status":429,"ts":"2026-05-07 11:40:30","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:52034","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:40:30","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:52050","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:40:31","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:39646","latency_ms":0,"method":"GET","status":404,"ts":"2026-05-07 11:40:31","upstream":"127.0.0.1:18084","url":"/hello.txt"}
{"ip":"127.0.0.1:39648","latency_ms":0,"method":"GET","status":404,"ts":"2026-05-07 11:40:31","upstream":"127.0.0.1:18084","url":"/hello.txt"}
{"ip":"127.0.0.1:60710","latency_ms":33,"method":"GET","status":502,"ts":"2026-05-07 11:40:32","upstream":"127.0.0.1:9001","url":"slow"}
{"ip":"127.0.0.1:48872","latency_ms":0,"method":"GET","status":404,"ts":"2026-05-07 11:58:40","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:48886","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 11:58:40","upstream":"127.0.0.1:18083","url":"/hello.txt"}
